1,jay_park,깡 Official Remix,2020-06-04
2,jay_park,All The Way Up,2020-04-25
3,jay_park,This Wasn't Supposed To Happen\
,2019-11-16
4,jay_park,Nothing Matters,2019-07-02
5,jay_park,The Road Less Traveled,2019-06-07
6,jay_park,Finish Line Remix,2019-01-01
7,jay_park,Finish Line,2018-11-09
8,jay_park,V,2018-09-10
9,jay_park,SOJU Remix,2018-07-01
10,jay_park,FSU,2018-07-06
11,jay_park,ASK BOUT ME,2018-07-20
12,jay_park,SOJU,2018-05-25
13,jay_park,RUN IT,2018-01-17
14,jay_park,Birthday Gamble,2017-12-11
15,jay_park,LOVE MY LIFE,2017-07-07
16,jay_park,Raw Sh!t,2017-04-03
17,jay_park,Hulk Hogan,2017-03-08
18,jay_park,곁에 있어주길 (STAY WITH ME),2016-10-12
19,jay_park,EVERYTHING YOU WANTED,2016-10-20
20,jay_park,Me like yuh,2016-09-02
21,jay_park,사실은 (The Truth Is),2016-03-22
22,jay_park,WORLDWIDE,2015-11-05
23,jay_park,Solo,2015-09-24
24,jay_park,My Last,2015-07-17
25,jay_park,몸매 (MOMMAE),2015-05-22
26,jay_park,EVOLUTION,2014-09-01
27,jay_park,나나 (NaNa),2014-07-25
28,jay_park,메트로놈 (Metronome),2014-04-11
29,jay_park,I Like 2 Party,2013-07-10
30,jay_park,JOAH,2013-04-10
31,jay_park,TAKE HD Special Maxi Album,2012-02-07
32,jay_park,New Breed,2012-02-07
33,jay_park,New Breed Part.1,2011-12-28
34,jay_park,Girl Friend,2011-11-03
35,jay_park,Demon,2011-09-05
36,jay_park,TAKE A DEEPER LOOK,2011-04-27
37,jay_park,Bestie,2010-10-26
38,jay_park,믿어줄래,2010-07-13
